time,roll,pitch
6.8496,-13.4306,-19.7146
6.8591,-12.3773,-18.5081
6.8676,-10.0932,-20.3486
6.8771,-11.3543,-25.4636
6.8872,-12.7609,-26.9606
6.8956,-11.3850,-27.4687
6.9052,-11.5927,-27.6580
6.9146,-10.9978,-26.7183
6.9243,-11.6021,-25.8671
6.9350,-11.3536,-24.4241
6.9453,-12.8147,-23.1288
6.9551,-12.4452,-22.6322
6.9657,-12.8070,-21.8235
6.9744,-14.9951,-22.9120
6.9841,-14.6771,-24.7504
6.9943,-15.1209,-25.4088
7.0032,-14.9860,-26.3726
7.0134,-15.5392,-26.1310
7.0231,-15.4084,-23.7230
7.0326,-15.0154,-22.4072
7.0428,-14.2557,-21.5990
7.0525,-14.1007,-20.6385
7.0619,-14.8841,-20.8520
7.0718,-14.3540,-20.8143
7.0819,-13.7838,-21.0745
7.0918,-14.4660,-22.3835
7.1020,-14.8672,-21.5661
7.1107,-15.1063,-23.4885
7.1203,-13.1777,-27.5607
7.1306,-13.3933,-29.5900
7.1407,-14.8894,-28.7138
7.1508,-13.9671,-30.6009
7.1600,-14.1364,-33.1365
7.1706,-15.5176,-36.0390
7.1806,-16.5767,-37.2556
7.1899,-15.9033,-36.8369
7.2011,-15.8021,-39.8593
7.2111,-15.8945,-37.2491
7.2213,-17.4104,-30.0796
7.2319,-17.5900,-28.3755
7.2411,-18.4671,-27.3080
7.2513,-19.9145,-25.3383
7.2614,-20.9943,-27.6151
7.2718,-20.4148,-29.3717
7.2818,-19.7677,-31.8483
7.2903,-18.8608,-31.1168
7.3006,-19.0262,-34.2351
7.3107,-20.0116,-35.6008
7.3206,-18.3187,-37.5989
7.3302,-17.6291,-37.3828
7.3392,-18.7074,-34.8713
7.3490,-17.8874,-35.0190
7.3590,-17.7678,-33.7841
7.3676,-17.7447,-34.4290
7.3779,-17.1326,-34.5509
7.3880,-17.3396,-35.5077
7.3967,-16.9887,-34.8632
7.4063,-16.8880,-37.2030
7.4164,-15.8553,-38.9418
7.4253,-16.3073,-38.8101
7.4357,-15.3217,-37.9941
7.4458,-15.2743,-39.8146
7.4547,-16.4134,-38.6684
7.4648,-16.3593,-39.5096
