time,roll,pitch,yaw
3.1977,-11.7175,-27.5701,149.6402
3.2252,-11.3059,-25.7642,151.5212
3.2526,-11.9903,-22.2692,154.3948
3.2792,-14.6236,-24.1044,151.3057
3.3062,-15.5013,-26.5535,148.6119
3.3356,-15.6469,-23.2440,151.4448
3.3618,-15.0847,-20.2050,154.3766
3.3877,-14.4795,-21.8406,153.3691
3.4138,-14.6621,-23.6809,151.6571
3.4385,-14.3671,-29.0202,146.9826
3.4662,-15.9956,-35.3652,140.1308
3.4897,-16.1841,-37.2369,138.2241
3.5157,-16.4134,-33.7020,141.4880
3.5398,-18.8421,-26.0629,146.9556
3.5662,-21.0384,-27.7756,143.9668
3.5908,-18.9676,-31.1226,142.3689
3.6172,-18.3463,-34.9127,139.2189
3.6444,-17.0697,-36.1677,138.7671
3.6715,-17.7461,-33.7748,140.6539
3.6997,-15.7241,-37.8543,137.8685
3.7293,-14.4258,-40.6852,135.7426
3.7587,-16.9795,-39.2103,135.8643
3.7861,-14.8233,-40.1906,136.0369
3.8152,-13.7297,-44.6510,132.1166
3.8450,-10.2477,-48.2043,129.9631
3.8742,-8.7010,-45.7456,132.9415
3.9186,-8.0115,-44.2822,134.6047
3.9442,-4.9326,-49.9676,129.6018
3.9675,-6.3414,-54.0230,125.2387
3.9917,-8.8724,-54.7119,123.8291
4.0136,-6.1615,-57.6689,121.5962
4.0386,-4.2574,-56.1245,123.5335
4.0616,-10.5941,-58.8139,118.9524
4.0868,-9.1447,-60.6685,117.6045
4.1106,-9.1419,-60.2716,118.0179
4.1352,-10.5941,-61.0098,116.6434
4.1597,-7.9845,-60.7403,117.9444
4.1840,-7.6665,-61.8773,116.8777
4.2070,-5.2749,-66.2972,113.0378
4.2318,-6.4901,-66.1360,112.8584
4.2556,-5.2086,-64.0652,115.3294
4.2784,-5.1645,-60.9385,118.5114
4.3029,-2.4993,-58.5478,121.3296
4.3256,-9.4650,-71.9650,105.2073
4.3617,-6.1588,-73.9981,104.7106
4.3891,-4.6709,-74.2823,104.9733
4.4159,-6.8257,-70.7972,107.8598
4.4428,-0.4262,-73.8339,106.1602
4.4686,-1.1847,-80.7942,99.1280
4.4959,-1.3690,-82.7261,97.1426
4.5201,-3.6731,-80.2878,98.9783
4.5453,-1.2990,-81.8979,97.9959
4.5689,2.0508,-83.1392,96.5443
4.5935,1.4084,-81.2740,98.6098
4.6173,2.2242,-78.9661,100.8019
4.6423,-0.3975,-80.8634,99.1278
4.6659,0.8858,-82.3807,97.5670
4.6906,-3.2306,-84.2967,94.6951
4.7131,0.0125,-88.7615,88.7616
4.7382,-3.6270,-85.8468,92.0206
4.7617,-0.7922,-88.4529,91.3288
4.7867,-0.1578,-89.1041,89.1181
4.8122,0.0000,-85.7554,85.7554
4.8365,2.7591,-86.0489,87.1740
4.8614,2.5099,-86.3263,87.3191
4.8842,-0.5559,-87.6821,87.7498
4.9087,1.3845,-84.5387,84.7182
4.9325,2.1292,-85.4145,85.9407
4.9574,3.0062,-85.7467,86.9938
4.9823,3.7879,-85.6521,87.8686
5.0079,0.5187,-84.7810,84.8070
5.0327,1.9778,-85.8671,86.3725
5.0563,2.1427,-84.1913,84.6034
5.0812,1.5856,-83.4245,83.6202
5.1041,0.7149,-83.6121,83.6526
5.1284,0.4049,-83.8545,83.8680
5.1519,0.7104,-82.0390,82.0711
5.1769,1.5294,-82.3755,82.5323
5.2007,2.7681,-83.1095,83.6949
5.2257,2.3149,-82.7280,83.1100
5.2508,0.0131,-81.9272,81.9272
5.2761,0.8519,-83.4069,83.4626
5.3007,1.5183,-83.4174,83.5964
5.3244,1.3888,-82.7785,82.9147
5.3487,-1.1426,-81.8407,81.9221
5.3751,-3.9960,-80.5818,81.4855
5.4003,-1.8521,-83.1955,83.4547
5.4239,1.8591,-86.9869,87.6297
5.4492,-1.3700,-87.3113,87.6870
5.4725,6.1029,-83.3079,87.2648
5.4975,2.1491,-85.6565,86.2272
5.5189,-1.7148,-86.8858,87.4012
5.5417,0.5829,-88.9970,89.1838
5.5735,1.2097,-87.0203,92.7227
5.5999,0.5885,-89.4009,90.1123
5.6256,-2.4147,-86.7246,87.7882
5.6512,-1.8198,-87.1530,92.1888
5.6780,2.9663,-84.1635,95.0220
5.7025,3.5623,-79.9695,99.3644
5.7294,2.3400,-82.7066,96.9039
5.7566,-3.5917,-83.5204,95.3859
5.7812,0.4400,-81.5867,98.4016
5.8077,0.5474,-80.4990,99.4850
5.8339,1.3621,-78.4081,101.5094
5.8603,-1.9664,-77.7783,102.0576
5.8848,-7.9196,-76.8458,100.4351
5.9108,-6.1726,-75.9304,102.5932
5.9374,-4.9640,-75.3429,103.7554
5.9653,-1.2289,-72.2427,107.7119
5.9941,-0.5405,-70.9339,109.0578
6.0213,-3.5248,-72.1718,107.4533
6.0492,-4.7673,-72.0114,107.3036
6.0766,-3.2444,-69.7229,109.9932
6.1012,-2.9801,-68.5019,111.2701
6.1279,-5.6174,-65.9193,113.3350
6.1558,-9.1606,-62.8271,115.3425
6.1830,-9.9659,-66.3295,111.2391
6.2088,-6.3746,-64.7361,114.3364
6.2358,-4.8537,-61.7794,117.7255
6.2637,-3.3945,-61.9845,117.7726
6.2878,-9.6721,-63.7684,114.1310
6.3148,-13.8511,-75.3340,94.7267
6.3421,-13.2434,-66.6574,108.8619
6.3699,10.6586,-37.4260,140.5609
6.3942,-0.3335,-61.9247,118.0729
6.4213,-9.0868,-59.3167,119.0281
6.4577,-9.3908,-53.6989,124.6874
6.4849,-7.4961,-48.4028,130.6129
6.5099,-8.3146,-54.8618,123.8546
6.5350,-6.6679,-58.7533,120.3687
6.5568,-16.7624,-53.8110,121.0124
6.5824,-15.0103,-49.0440,127.0235
6.6050,-12.1249,-44.1197,133.3514
6.6299,-8.9682,-47.0396,131.5616
6.6530,8.0753,-50.5395,128.3035
6.6757,-16.6661,-41.1757,134.1002
6.7007,-14.7740,-44.0838,132.1856
6.7238,-15.3067,-44.1445,131.8562
6.7487,-13.9689,-43.2398,133.4196
6.7705,-17.1635,-43.3751,131.6267
6.7951,-17.0016,-45.6530,129.4131
6.8189,-11.7693,-41.5482,136.0599
6.8433,-10.0943,-35.5376,142.6207
6.8672,-12.4448,-31.5270,145.5584
6.8915,-17.6169,-36.8497,137.7971
6.9149,-14.4619,-38.1585,138.2099
6.9392,-12.1724,-37.7471,139.6487
6.9630,-8.2714,-31.7152,146.9735
6.9841,-10.5785,-27.9256,149.7999
7.0098,-12.8420,-32.2866,144.6513
7.0321,-10.8523,-34.0598,143.7820
7.0577,-11.1329,-33.3071,144.4027
7.0796,-11.6893,-27.8123,149.4249
7.1049,-14.5788,-29.4502,146.4713
7.1280,-18.8702,-40.1481,133.8351
7.1522,-12.1078,-28.2470,148.8238
7.1741,-3.2693,-20.5194,159.1984
7.1981,-3.5928,-14.3077,165.2293
7.2236,-11.8361,-28.0282,149.1548
7.2479,-7.5330,-24.6263,154.0980
7.2735,-10.4494,-17.1775,159.7219
7.2987,-5.6878,-9.7244,168.7063
7.3234,-9.1357,-14.3571,162.8760
7.3485,-18.7343,-24.1671,148.6442
7.3727,-10.1929,-17.2763,159.7750
7.3979,-5.4468,-13.6083,165.3030
7.4222,-8.3439,-12.9895,164.4818
7.4481,-13.5990,-17.5501,157.5192
7.4731,-8.5573,-16.0421,161.7081
7.4981,-9.2201,-12.4895,164.3863
7.5313,-7.8850,-10.9486,166.4501
7.5580,-12.3217,-15.8785,159.6973
7.5850,-11.0271,-12.2353,163.4125
7.6101,-10.9260,-9.2334,165.6208
7.6322,-8.6670,-5.6324,169.6398
7.6570,-7.6619,-6.4755,169.9429
7.6798,-14.4622,-9.5026,162.5799
7.7048,-11.8921,-8.3455,165.4010
7.7279,-9.4632,-6.2320,168.6374
7.7534,-7.1566,-3.2365,172.1386
7.7760,-6.8867,4.1137,171.9679
7.8012,-11.3184,1.4430,168.5876
7.8241,-8.9470,-6.0079,169.1954
7.8545,-8.6321,-0.6959,171.3394
7.8816,-9.6946,5.4078,168.8736
7.9101,-15.9304,-5.9602,162.9351
7.9373,-11.9749,-6.2278,166.4596
7.9641,-6.9748,5.5489,171.0700
7.9900,-10.9855,9.8109,165.1889
8.0172,-12.0082,2.7181,167.6791
8.0444,-10.0082,0.9254,169.9483
8.0705,-10.8901,8.9197,165.8534
8.1024,-8.1432,12.9001,164.6690
8.1295,-12.3507,5.9664,166.2425
8.1562,-13.2711,4.0439,166.1048
8.1820,-8.2560,14.2954,163.4029
8.2145,-7.8557,16.0145,162.0684
8.2380,-14.9026,4.8089,164.3063
8.2652,-7.0010,10.6753,167.1884
8.2968,-12.8518,19.5665,156.2945
8.3213,-8.8984,23.6533,154.5332
8.3460,-7.0160,18.9712,159.6788
8.3694,-14.2304,14.6230,159.3677
8.3935,-10.3905,18.1797,158.8767
8.4160,-10.0768,22.8541,154.7874
8.4415,-3.6859,23.6091,156.0699
8.4661,-5.5584,18.4690,160.6542
8.4904,-10.4200,16.8553,160.0171
8.5154,-5.2550,25.6844,153.7055
8.5383,0.8802,25.1843,154.7982
8.5636,0.7635,24.1169,155.8695
8.5855,-2.7789,25.1996,154.6261
8.6099,-0.2835,24.1117,155.8864
8.6330,-0.3530,27.2023,152.7950
8.6582,0.8919,32.4532,147.5315
8.6812,-9.2057,31.0396,147.3247
8.7060,-3.0519,22.2776,157.4919
8.7295,-7.2276,25.4779,153.3728
8.7541,-1.3963,36.2651,143.6993
8.7771,0.6129,36.0389,143.9542
8.8014,-7.6713,30.0858,148.7505
8.8271,-9.0462,31.4425,146.9874
8.8534,-3.5172,37.3564,142.4202
8.8783,-2.4332,40.7208,139.1748
8.9034,-6.1638,30.7426,148.5109
8.9280,-6.0553,36.5338,142.8021
8.9528,-2.0302,39.6740,140.2529
8.9762,0.1698,45.9887,134.0108
9.0010,-2.0197,49.0854,130.8427
9.0235,-1.9953,39.2825,140.6467
9.0486,-1.3400,40.4579,139.5104
9.0718,-0.2958,47.7083,132.2901
9.0969,-0.2213,51.1259,128.8733
9.1219,-0.5745,45.4823,134.5119
9.1458,2.0903,40.1629,139.7598
9.1714,0.8048,49.0778,130.9108
9.1953,-5.4403,45.6389,133.8458
9.2198,-4.5991,40.0071,139.6193
9.2426,-0.6284,44.5730,135.4202
9.2682,4.4835,54.2614,125.3685
9.2937,0.6750,43.7743,136.2177
9.3173,-2.3516,39.4352,140.4665
9.3420,0.6100,45.6433,134.3502
9.3664,4.5652,57.4424,122.1562
9.3909,-0.1870,41.8039,138.1954
9.4154,-14.9682,30.7507,145.0518
9.4392,-13.3565,41.9051,135.0313
9.4641,-2.0581,40.5555,139.3697
9.4880,3.6952,32.3706,147.3668
9.5129,-5.5864,43.0573,136.3988
9.5355,-7.3105,45.7278,133.3436
9.5609,4.6908,51.2425,128.3645
9.5839,6.7299,45.6061,133.6065
9.6091,5.8741,46.7087,132.6897
9.6303,-1.1779,51.3686,128.6066
9.6549,-3.6920,55.9580,123.7854
9.6780,-2.9100,52.9219,126.9245
9.7027,-4.6381,49.8033,129.8163
9.7262,-5.0225,56.0999,123.4241
9.7510,-3.0322,58.0222,121.7990
9.7752,-9.3389,53.5748,124.8317
9.8004,-3.7889,54.2840,125.4516
9.8248,-12.9105,52.4950,124.4962
9.8489,-11.8051,58.3369,118.9087
9.8740,-6.5140,60.2030,118.9343
9.8991,-3.2241,58.0112,121.7867
9.9245,-6.8375,60.9715,118.0612
9.9495,-14.5983,57.9880,117.7973
9.9737,-7.5659,57.3589,121.5376
9.9989,-1.8822,60.5384,119.3894
10.0214,-8.8560,60.7582,117.6199
10.0461,-5.4363,63.6846,115.6626
10.0688,-11.9550,59.5348,117.5659
10.0941,0.2207,56.2832,123.7159
10.1201,-3.7418,64.6559,115.0272
10.1458,0.6025,67.3085,112.6826
10.1709,-6.7479,60.9563,118.1020
10.1947,-6.4903,57.2982,121.8914
10.2187,-2.7592,67.9347,111.8740
10.2413,0.2534,67.6300,112.3684
10.2653,-10.1744,60.3094,117.5645
10.2907,-2.9562,67.6377,112.1450
10.3151,-3.5210,65.3263,114.3876
10.3398,0.0963,67.6248,112.3750
10.3634,-4.9882,63.2654,116.1917
10.3880,-3.8236,70.1793,109.4180
10.4109,-9.1483,64.5135,113.5687
10.4361,0.0950,72.5033,107.4965
10.4586,-9.7000,68.1328,109.4004
10.4839,-4.0955,70.8734,108.6495
10.5090,-2.6673,68.6267,111.1899
10.5322,-6.4523,66.0274,112.9825
10.5576,-2.7250,71.4570,108.3271
10.5805,1.8561,69.2782,110.6308
10.6061,-2.7134,71.3275,108.4598
10.6305,-6.7035,69.7846,108.9799
10.6531,-3.6965,72.6050,106.9731
10.6779,-0.2377,74.8771,105.1210
10.6999,-1.0237,74.0967,105.8686
10.7245,-10.3415,67.2674,110.0111
10.7499,-6.1186,72.8556,105.9522
10.7735,-5.1992,72.2830,106.8885
10.7985,-5.8424,71.0162,107.9968
10.8214,-9.7903,72.2118,104.7026
10.8465,-8.7369,69.8627,107.9959
10.8700,-1.2367,74.7041,105.2434
10.8957,-5.0544,73.3483,105.8234
10.9194,-6.9511,73.9737,104.3674
10.9455,-6.5866,71.6152,107.0856
10.9710,-7.9464,72.1427,105.8855
10.9978,-8.4707,74.6467,102.7096
11.0226,-10.5231,70.2557,106.5111
11.0495,-8.4615,72.7412,104.9294
11.0727,-4.2510,75.8155,103.5070
11.0993,-3.8865,73.8118,105.6898
11.1272,-9.8697,70.2639,106.9150
11.1537,-11.0769,72.7748,103.0230
11.1805,-7.3096,72.1246,106.2207
11.2076,-6.4803,69.1188,109.7607
11.2340,-8.8743,65.9147,112.1984
11.2595,-6.4513,68.7317,110.1754
11.2851,-5.1209,69.0352,110.2723
11.3119,-9.4268,64.7217,113.2258
11.3384,-7.3753,63.0093,115.8053
11.3627,-7.8536,66.9966,111.4764
11.3900,-5.7900,61.9592,117.3321
11.4167,-8.0080,59.6895,119.0175
11.4538,-7.1633,61.0668,117.8685
11.4781,-6.0241,60.9128,118.3383
11.5027,-5.6895,58.3614,121.0046
11.5271,-3.5666,56.5949,123.1634
11.5523,-7.2614,54.8785,124.1427
11.5747,-8.1032,54.3988,124.3896
11.5995,-6.6946,54.3179,124.8562
11.6229,-5.8227,51.7935,127.5982
11.6471,-11.2343,50.4849,127.2808
11.6708,-10.2989,49.1665,128.9724
11.6948,-5.5737,51.9245,127.5174
11.7189,-0.2928,51.3555,128.6430
11.7443,-9.0336,40.2839,138.2895
11.7669,-5.5932,43.5877,135.8676
11.7919,-7.2021,43.5349,135.5639
11.8140,-2.6850,43.9646,135.9096
11.8394,-0.2709,44.9768,135.0220
11.8620,-9.3079,39.0384,139.4376
11.8862,-5.8289,39.2640,140.1342
11.9096,-2.9294,40.2430,139.6053
11.9350,0.7897,40.8599,139.1291
11.9588,-9.8463,33.3388,144.8599
11.9835,-8.4377,33.3118,145.3571
12.0070,-4.8597,41.9678,137.6190
12.0355,0.6212,42.1205,137.8727
12.0604,-3.5900,35.8421,143.9216
12.0876,-2.2835,33.1324,146.7683
12.1121,-9.0699,35.8151,142.6968
12.1472,-4.8486,28.0533,151.4564
12.1737,7.0141,29.1704,149.8363
12.1971,-0.8529,21.4166,158.5647
12.2236,1.5054,32.7125,147.2441
12.2478,2.5784,28.5799,151.2823
12.2746,-6.9713,20.8795,157.8827
12.2980,-7.2888,19.3481,159.2208
12.3257,-2.0218,19.7496,160.1386
12.3501,0.6999,24.7164,155.2724
12.3772,-2.6646,19.4172,160.3862
12.4022,-7.7291,15.8771,162.2512
12.4298,0.5683,17.0955,162.8944
12.4546,-2.6452,21.0792,158.7397
12.4804,0.7932,22.3345,157.6499
12.5066,-7.4464,9.1504,168.1620
12.5326,-3.3378,9.5477,169.8754
12.5606,0.1966,12.3594,167.6390
12.5881,2.2988,17.6155,162.2254
12.6145,-0.3842,9.4422,170.5499
12.6429,-9.5536,3.4783,169.8217
12.6709,-4.2698,5.9368,172.6782
12.6966,-3.5417,12.1500,167.3291
12.7230,-3.1796,13.3941,166.2199
12.7512,-9.6888,4.7122,169.2061
12.7787,-5.1288,4.4165,173.2240
12.8065,-7.5843,7.1227,169.5666
12.8350,-10.3228,3.0672,169.2215
12.8793,-2.3625,-0.4267,177.5992
12.9039,-1.8448,2.4087,176.9653
12.9288,-0.7643,2.9449,176.9574
12.9553,-5.3962,-2.0906,174.2107
12.9800,-1.0601,-7.6112,172.3145
13.0071,1.1419,-2.6565,177.1081
13.0328,-4.8406,-0.9193,175.0725
13.0599,-1.7035,-0.7651,178.1324
13.0861,-5.5839,-5.8758,171.8805
13.1103,-2.8332,-5.5107,173.7996
13.1329,-3.0539,-1.8522,176.4274
13.1601,-0.6549,-0.2278,179.3066
13.1877,-7.5715,-4.8437,170.9964
13.2168,-5.6710,-6.8754,171.0701
13.2472,-4.2313,-3.8354,174.2844
13.2760,-0.0704,-1.9119,178.0868
13.3008,-2.6809,-5.2334,174.1164
13.3289,-3.6061,-5.2139,173.6548
13.3569,-2.9955,-3.6665,175.2628
13.3853,-2.5689,-4.2646,175.0190
13.4146,-3.3338,-8.5543,170.8099
13.4441,-13.3462,-21.0221,154.7493
13.4756,-5.6216,15.5597,163.4071
13.5018,10.0900,-24.4261,153.3139
13.5307,3.8302,-9.5567,169.6909
13.5763,-4.7225,-12.0293,167.0509
13.6037,-0.3995,-15.0418,164.9526
13.6316,1.6606,-12.2075,167.6766
13.6577,-4.3597,-16.7317,162.6771
13.6844,-1.6599,-15.0831,164.8216
13.7109,-5.9237,-18.8432,160.1799
13.7363,4.4449,-14.5073,164.7983
13.7770,2.6658,-15.7188,164.0452
13.8122,-9.8365,-21.6017,156.0550
13.8374,0.1962,-15.6448,164.3539
13.8622,-0.5107,-15.5860,164.4052
13.8873,-1.0232,-11.1807,168.7713
13.9101,-3.8625,-21.8986,157.7283
13.9348,-2.4689,-19.1802,160.6492
13.9622,-3.6962,-16.5353,163.0333
13.9851,3.4418,-14.7777,164.8089
14.0100,-3.4025,-15.7963,163.8226
14.0328,-2.3815,-17.2665,162.5597
14.0579,-5.3767,-16.8658,162.2486
14.0822,0.8352,-11.6246,168.3446
14.1076,-0.5487,-10.8935,169.0924
14.1306,0.6569,-12.2430,167.7389
14.1565,-5.5417,-14.1877,164.7258
14.1810,-15.8244,-18.5447,155.2322
14.2061,-14.4849,-19.3550,155.4673
14.2281,-8.2357,-23.7033,154.7379
14.2548,-10.2078,-21.1688,156.2806
14.2815,-12.4671,-14.7467,160.5027
14.3085,-9.7704,-12.8889,163.7233
14.3348,-20.5149,-13.4112,155.1496
14.3613,-27.0694,-16.5683,147.5182
14.3868,-22.5332,-19.2708,149.6191
14.4134,-16.8169,-16.0158,156.4355
14.4399,-26.5220,-10.7038,151.0774
14.4673,-31.1018,-23.6415,139.1603
14.4940,-32.9558,-21.9822,138.6746
14.5195,-34.4525,-18.6496,139.4700
14.5449,-28.5360,-18.7244,144.8618
14.5687,-21.9692,-21.1479,148.6860
14.6003,-49.8728,-15.9522,125.6582
14.6253,-38.1214,-28.7690,128.4852
14.6492,-32.5473,-18.9047,141.0957
