time,acceleration x,acceleration y,acceleration z,gyroscope x,gyroscope y,gyroscope z
0.0127,6.9647,1.1061,-6.3590,-0.0534,-1.2951,-3.8244
0.0256,6.0932,1.4054,-6.2130,-0.0843,-1.4923,-2.4809
0.0391,5.6695,1.6376,-7.2233,-0.1096,-1.6925,-1.1145
0.0524,5.6790,1.9321,-6.2489,-0.1197,-1.8361,-2.2748
0.0655,4.7788,2.7964,-7.5705,-0.1228,-1.9094,-3.5038
0.0866,4.5610,3.2657,-9.4092,-0.1211,-1.9094,-11.2748
0.1001,4.3407,3.0670,-9.6319,-0.0875,-1.7677,-15.7786
0.1195,2.6959,3.0215,-10.1730,-0.0131,-1.4774,-14.4198
0.1331,1.6305,3.0263,-11.3868,0.0819,-0.9228,-7.1985
0.1476,1.4078,2.6288,-13.0771,0.1431,-0.3932,-2.1603
0.1646,2.4325,3.0574,-12.9957,0.1455,0.2057,-0.0840
0.1789,3.1436,3.1651,-11.8657,0.0994,0.4130,-0.1756
0.1921,2.7845,2.4229,-11.0756,0.0434,0.4017,1.5496
0.2057,2.1117,2.7485,-10.6470,-0.0312,0.3758,6.2748
0.2194,2.3152,2.7174,-11.6286,-0.0056,0.6783,10.1145
0.2327,1.4509,3.1484,-12.8593,0.1304,1.4078,17.1298
0.2496,1.4150,3.2920,-12.9287,0.3007,1.9094,25.3511
0.2683,3.3782,3.6272,-12.3230,0.4171,1.9094,19.9466
0.2867,6.9911,3.5314,-9.0214,0.1855,1.9094,-0.2901
0.3055,7.5010,3.4668,-7.4915,-0.0171,1.9094,-15.2366
0.3233,6.5314,1.3455,-5.5138,-0.1043,1.9094,-8.0000
0.3416,5.9185,0.5818,-1.8531,-0.0518,1.4554,-2.5115
0.3611,7.5561,-0.5171,0.6752,0.0839,0.7546,3.4504
0.3794,8.3462,2.3942,0.6129,0.0713,-0.1324,5.2443
0.3989,8.7652,1.5874,-2.7629,-0.0252,-0.9087,5.0763
0.4178,7.8697,0.4908,-5.9568,-0.0880,-1.2079,8.2290
0.4369,7.6902,1.4916,-5.0661,-0.0550,-1.2067,4.9542
